# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()
0	0.9967478	5.541369e-09	0	0.9967478	-1.527369e-08	0	0.9967477	2.6565976e-08	0
2.012821493062647e-12	0.9760418	0.11160456	-0.16916345	0.9760418	0.111604534	-0.16916345	0.9760418	0.111604586	-0.16916345
3.276150315833734e-12	0.9380945	0.2183053	-0.2576167	0.9380945	0.2183053	-0.2576167	0.9380945	0.2183053	-0.25761667
4.611833216310791e-12	0.87319213	0.35135794	-0.3292657	0.8731922	0.35135794	-0.3292657	0.8731922	0.351358	-0.32926568
6.01790455431009e-12	0.7765378	0.500599	-0.37519503	0.7765378	0.50059897	-0.37519503	0.7765377	0.500599	-0.375195
7.389287086177714e-12	0.657879	0.64102954	-0.3876916	0.657879	0.64102954	-0.38769162	0.657879	0.6410296	-0.3876916
8.665128731253548e-12	0.53318924	0.7563152	-0.37013832	0.53318924	0.75631523	-0.37013832	0.53318924	0.7563152	-0.37013835
9.912893622907388e-12	0.40730748	0.8481085	-0.32726383	0.40730748	0.8481085	-0.32726383	0.40730748	0.8481084	-0.32726377
1.1188556780425992e-11	0.28509575	0.9176196	-0.26030648	0.28509575	0.9176196	-0.2603065	0.28509578	0.9176195	-0.26030648
1.2457840685859514e-11	0.17993116	0.9627482	-0.1748376	0.17993113	0.9627482	-0.17483762	0.17993116	0.9627482	-0.1748376
1.371855610933566e-11	0.09964783	0.9863884	-0.07635811	0.09964781	0.9863885	-0.076358125	0.09964783	0.9863885	-0.076358095
1.496656864778108e-11	0.049113967	0.9922425	0.029300407	0.04911395	0.9922425	0.029300392	0.04911398	0.9922425	0.029300418
1.621278364652426e-11	0.029912021	0.98344696	0.13784736	0.029912004	0.98344696	0.13784736	0.029912036	0.9834471	0.13784738
1.7458433250806752e-11	0.04203409	0.961661	0.24453238	0.042034067	0.96166104	0.24453235	0.042034116	0.96166116	0.24453238
1.8716595243200118e-11	0.083997026	0.92677176	0.34579408	0.083997004	0.92677176	0.34579408	0.083997056	0.92677164	0.34579408
1.9978463777308837e-11	0.15209146	0.87801826	0.43640622	0.15209143	0.8780182	0.43640622	0.15209149	0.8780182	0.43640628
2.1271336035204397e-11	0.24299128	0.81258553	0.51366425	0.24299124	0.81258553	0.5136642	0.2429913	0.81258553	0.51366425
2.2577405960267174e-11	0.34911537	0.7299216	0.5718745	0.34911537	0.72992164	0.5718745	0.34911543	0.7299216	0.5718745
2.388649261274602e-11	0.4616928	0.6312859	0.6070805	0.4616928	0.63128597	0.6070805	0.4616928	0.63128597	0.60708046
2.5193073300692876e-11	0.572312	0.5203002	0.6170051	0.572312	0.5203002	0.61700505	0.572312	0.5203002	0.61700505
2.6493895451448285e-11	0.67409647	0.40296072	0.6010089	0.67409647	0.40296084	0.6010089	0.67409647	0.40296072	0.6010089
2.7806966563045275e-11	0.7637199	0.28526503	0.5592214	0.76371986	0.28526506	0.5592214	0.7637199	0.28526503	0.5592214
2.912443183610276e-11	0.83800733	0.17681077	0.4934116	0.8380073	0.17681077	0.4934116	0.8380073	0.17681076	0.49341154
3.045738664416809e-11	0.8968652	0.08602868	0.40594187	0.8968652	0.08602868	0.40594187	0.89686507	0.08602868	0.4059418
3.1765412570007606e-11	0.93953866	0.023335878	0.30422753	0.93953866	0.02333587	0.30422756	0.9395388	0.023335882	0.30422753
3.303589586202333e-11	0.9676188	-0.006894094	0.19548258	0.96761894	-0.006894103	0.19548261	0.96761894	-0.006894083	0.19548257
3.431461723017074e-11	0.98275006	-0.0035004697	0.08175161	0.98275006	-0.003500485	0.08175163	0.9827501	-0.0035004548	0.08175159
3.559238831471952e-11	0.98365325	0.034504294	-0.030223921	0.9836532	0.034504272	-0.030223902	0.98365325	0.034504313	-0.03022394
